"arXiv ID","论文标题","研究问题","核心思想","方法/技术路线","数据集/仿真场景","评价指标","结果摘要","创新类型","局限性","ISAC子类别","置信度","发表日期","主分类"
"2607.04570","Rainbow Beamforming for Wideband LEO Satellite Communications: Principles, Applications, and Technical Challenges","To overcome the significant path loss of space-to-ground links, high-gain directional beamforming (BF) is indispensable. As LEO systems evolve toward wider bandwidths to support data-intensive...","Conventionally, the beam-squint effect has been treated as a critical performance impairment that must be mitigated. This article introduces a paradigm shift in wideband LEO satellite systems by redefining beam-squint as a valuable source of...","Conventionally, the beam-squint effect has been treated as a critical performance impairment that must be mitigated. This article introduces a paradigm shift in wideband LEO satellite systems by redefining beam-squint as a valuable source of...","Low Earth Orbit (LEO) satellite communications (SATCOM) has emerged as a key enabler of global connectivity for 6G networks. To overcome the...","By supporting dynamic frequency-spatial beam allocation, rainbow BF offers enhanced flexibility and scalability for wideband LEO SATCOM. We further illustrate the benefits of rainbow BF through...","We further illustrate the benefits of rainbow BF through three representative LEO SATCOM applications: i) massive multiple access to overcome the latency and throughput bottlenecks of conventional...","全新方法","未来工作可能包括将此方法扩展到更实际的场景。","Beamforming_and_Precoding","MEDIUM","2026-07-06","cs.IT"
"2607.04109","Finite-Blocklength ISAC Multiple Access: A Source-Channel Coding Perspective","Future networks must serve massive populations of devices that sense and communicate simultaneously under short-packet constraints, yet the fundamental limits of integrated sensing and...","Future networks must serve massive populations of devices that sense and communicate simultaneously under short-packet constraints, yet the fundamental limits of integrated sensing and communication (ISAC) in the finite-blocklength...","This paper closes this gap from a source-channel coding perspective. We prove that satisfying a sensing-distortion constraint is information-theoretically equivalent to a source-coding requirement, which collapses sensing and communication into...","Future networks must serve massive populations of devices that sense and communicate simultaneously under short-packet constraints, yet the...","Building on this equivalence, we derive a finite-blocklength achievability bound together with a Fano-sum many-user converse and a genie-aided single-user converse, yielding a tight...","Building on this equivalence, we derive a finite-blocklength achievability bound together with a Fano-sum many-user converse and a genie-aided single-user converse, yielding a tight...","理论贡献","information-theoretically equivalent to a source-coding requirement, which collapses sensing and communication into the joint recovery of a single effective payload within a coded multiple-access...","Standardization_and_Architecture","MEDIUM","2026-07-05","cs.IT"
"2607.03826","LAMBDA: A Low-Altitude Multimodal Base Dataset for UAV Sensing and Communication","Research on low-altitude integrated sensing and communication (ISAC) requires aligned multimodal data that jointly describe wireless propagation, visual appearance, unmanned aerial vehicle (UAV)...","Research on low-altitude integrated sensing and communication (ISAC) requires aligned multimodal data that jointly describe wireless propagation, visual appearance, unmanned aerial vehicle (UAV) motion, light detection and ranging (LiDAR)...","LAMBDA is characterized by high fidelity, modality diversity, scenario richness, and configuration flexibility. It is generated through a high-fidelity digital-twin pipeline with detailed scene geometry, refined material assignment, and...","Research on low-altitude integrated sensing and communication (ISAC) requires aligned multimodal data that jointly describe wireless propagation,...","Its CSI and radar resources support user-defined antenna-array sizes, bandwidths, subcarrier spacings, chirp parameters, and plane-wave or spherical-wavefront channel synthesis. The reliability...","Its CSI and radar resources support user-defined antenna-array sizes, bandwidths, subcarrier spacings, chirp parameters, and plane-wave or spherical-wavefront channel synthesis. The reliability...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","Channel_Estimation_and_CSI","MEDIUM","2026-07-04","eess.SP"
"2607.03637","STAR-RIS-Assisted Integrated Sensing, Secure Communication, and Power Transfer: A Transmit Power Minimization Framework","Evolving wireless networks call for architectures that unify sensing, communication, and wireless power transfer.","Evolving wireless networks call for architectures that unify sensing, communication, and wireless power transfer. Although integrated sensing and communication (ISAC) and simultaneous wireless information and power transfer (SWIPT) have validated...","To address this coupling and expand spatial degrees of freedom, we turn to intelligent metasurfaces: while a conventional reconfigurable intelligent surface (cRIS) reflects only to one side and thus limits coverage and flexibility, a...","STAR-RIS-assisted ISSCPT","We formulate a transmit-power minimization problem that jointly optimizes transmit and receive beamforming and the STAR-RIS configuration, and solve it via alternating optimization with successive...","We formulate a transmit-power minimization problem that jointly optimizes transmit and receive beamforming and the STAR-RIS configuration, and solve it via alternating optimization with successive...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","RIS_Metasurface_ISAC","MEDIUM","2026-07-03","eess.SP"
"2607.03389","Deep-Unfolded Wideband ISAC Beamforming for DMA Under Frequency-Selective Lorentzian Model","Integrated sensing and communications (ISAC), empowered by dynamic metasurface antennas (DMAs), has emerged as a promising paradigm for next-generation wireless networks.","However, existing DMA-based designs commonly rely on the frequency-flat response model for DMA elements, which is accurate only in narrowband scenarios and can cause significant phase and magnitude mismatches in wideband and ultra-wideband...","We aim to jointly balance the aggregate signal-to-interference-plus-noise ratio (SINR) of communication users and the signal-to-noise ratio (SNR) of the radar target. To this end, we first develop an alternating optimization framework based on...","Integrated sensing and communications (ISAC), empowered by dynamic metasurface antennas (DMAs), has emerged as a promising paradigm for...","We then propose an unfolded PGA architecture that preserves the interpretability of model-based optimization while learning key hyperparameters to accelerate convergence. Simulation results show...","We then propose an unfolded PGA architecture that preserves the interpretability of model-based optimization while learning key hyperparameters to accelerate convergence. Simulation results show...","理论贡献","未来工作可能包括将此方法扩展到更实际的场景。","Beamforming_and_Precoding","MEDIUM","2026-07-03","cs.IT"
"2607.03254","GDPR-Aware Trajectory Sharing for ISAC-Assisted Robot Navigation: A Case Study on FID-Constrained Collision Prediction","Integrated sensing and communication (ISAC) enables intelligent wireless infrastructure but raises growing regulatory concern as fine-grained personal trajectory histories become a byproduct of...","Integrated sensing and communication (ISAC) enables intelligent wireless infrastructure but raises growing regulatory concern as fine-grained personal trajectory histories become a byproduct of sensing. General Data Protection Regulation (GDPR)...","General Data Protection Regulation (GDPR) Articles 5(1)(c) and 5(1)(f) require that personal data be limited to what is necessary and protected through appropriate technical measures against unauthorised reconstruction.","Integrated sensing and communication (ISAC) enables intelligent wireless infrastructure but raises growing regulatory concern as fine-grained...","This paper addresses both requirements through a Fisher information density (FID)-constrained trajectory sharing scheme for robot collision avoidance, where sensing estimates are perturbed...","This paper addresses both requirements through a Fisher information density (FID)-constrained trajectory sharing scheme for robot collision avoidance, where sensing estimates are perturbed...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","RIS_Metasurface_ISAC","MEDIUM","2026-07-03","cs.RO"
"2607.03224","Sensing-Aided Channel Estimation for Near-Field MIMO ISAC Systems via Cross-Attention Transformer","Near-field integrated sensing and communication (ISAC) can deliver the high spatial resolution and transmission capability with the shared spectrum and hardware.","Near-field integrated sensing and communication (ISAC) can deliver the high spatial resolution and transmission capability with the shared spectrum and hardware. Due to the partial overlap between communication scatterers and radar targets, the...","To address this problem, a Cross-Attention Transformer based Channel Estimation Neural Network (CAT-CENet) is developed, which includes a communication pilot branch generating the the Key and Value features and a sensing information branch...","Near-field integrated sensing and communication (ISAC) can deliver the high spatial resolution and transmission capability with the shared...","The modality contribution is theoretically analyzed based on the Shapley value to verify the cross-attention gain achieved by CAT-CENet. Simulation results show that CAT-CENet outperforms the...","The modality contribution is theoretically analyzed based on the Shapley value to verify the cross-attention gain achieved by CAT-CENet. Simulation results show that CAT-CENet outperforms the...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","Channel_Estimation_and_CSI","MEDIUM","2026-07-03","eess.SP"
"2607.02878","Cramér-Rao Bound Optimization for Massive MIMO DFRC Systems with 1-Bit DACs and ADCs","In this paper, we investigate the dual-function radar-communication (DFRC) design for massive multiple-input multiple-output (MIMO) systems equipped with 1-bit digital-to-analog converters (DACs)...","In this paper, we investigate the dual-function radar-communication (DFRC) design for massive multiple-input multiple-output (MIMO) systems equipped with 1-bit digital-to-analog converters (DACs) at the transmitter and 1-bit analog-to-digital...","Specifically, the objective is to minimize the 1-bit Cramér-Rao bound (CRB) for estimating the azimuth angle of a point-like target under symbol-level constructive interference (CI) constraints. We conduct an asymptotic analysis of the 1-bit...","the dual-function radar-communication (DFRC) design for massive multiple-input multiple-output (MIMO)","We consider a downlink scenario where the transmit signal matrix is optimized to enhance sensing performance while satisfying communication quality of service (QoS) requirements. Specifically, the...","The solution is further refined via local search and cutting-plane techniques. Extensive numerical experiments verify our analysis, showing that the proposed approach exhibits promising DFRC...","理论贡献","未来工作可能包括将此方法扩展到更实际的场景。","Localization_and_Tracking","HIGH","2026-07-03","cs.IT"
"2607.01064","Low-Complexity Sensing-Aware PAPR Reduction for AFDM-based ISAC Systems","Integrated sensing and communication (ISAC) has emerged as a key technology for future wireless networks by enabling communication and environmental sensing through a common waveform and hardware...","Integrated sensing and communication (ISAC) has emerged as a key technology for future wireless networks by enabling communication and environmental sensing through a common waveform and hardware platform. Among the candidate waveforms for ISAC,...","Among the candidate waveforms for ISAC, Affine Frequency Division Multiplexing (AFDM) had attracted significant attention due to its robustness in high-mobility environments, but it suffers from a high peak-to-average power ratio (PAPR). In this...","Integrated sensing and communication (ISAC) has emerged as a key technology for future wireless networks by enabling communication and...","The proposed method combines low-complexity gradient-based PAPR minimization with a randomized local search that exploits the phase sensitivity of the AFDM autocorrelation function to suppress...","The proposed method combines low-complexity gradient-based PAPR minimization with a randomized local search that exploits the phase sensitivity of the AFDM autocorrelation function to suppress...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","Waveform_Design","MEDIUM","2026-07-01","eess.SP"
"2607.00951","DRL-Based Joint Beamforming and Surface Shape Optimization for Flexible Intelligent Metasurface-Aided ISAC Systems","Specifically, we formulate the joint design of beamforming matrix and FIMs surface shape to reduce the CRB subject to transmit power, QoS and the FIMs surface shape constraints. However, the...","However, the non-convex formulation makes optimization problem difficult to solve. To tackle this issue, we develop a deep deterministic policy gradient (DDPG) actor critic DRL scheme for the joint design, guided by a constraint aware reward to...","In this paper, we investigate the design of ISAC systems enabled by flexible intelligent metasurface (FIM) and aim to minimize the Cramér-Rao bound (CRB) with quality of service (QoS) constraints using deep reinforcement learning (DRL)....","the design of ISAC","To tackle this issue, we develop a deep deterministic policy gradient (DDPG) actor critic DRL scheme for the joint design, guided by a constraint aware reward to progressively improve sensing...","To tackle this issue, we develop a deep deterministic policy gradient (DDPG) actor critic DRL scheme for the joint design, guided by a constraint aware reward to progressively improve sensing...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","Localization_and_Tracking","MEDIUM","2026-07-01","cs.IT"
"2607.00912","Fundamental Limits of Random Downlink Integrated Sensing and Communication over Rician Channels","This paper studies the stochastic performance of a downlink multiple-input multiple-output integrated sensing and communication (ISAC) system over Rician fading channels.","This paper studies the stochastic performance of a downlink multiple-input multiple-output integrated sensing and communication (ISAC) system over Rician fading channels. Rician fading is important in line-of-sight (LoS)-dominated deployments,...","The user LoS angle may be fixed or random, and the target angle may follow an arbitrary distribution potentially correlated with the user angle. Compared with Rayleigh fading, the deterministic LoS component introduces angle-dependent terms and...","line-of-sight (LoS)-dominated","We analyze two beamforming strategies: subspace joint beamforming (SJB), optimal for the shared waveform structure, and linear beamforming (LB), a practical alternative using separate sensing and...","Results show the Rician K-factor affects communication more strongly than sensing, with non-monotonic behavior across regimes. LB with DPC achieves the best overall performance in strong LoS...","理论贡献","未来工作可能包括将此方法扩展到更实际的场景。","Beamforming_and_Precoding","MEDIUM","2026-07-01","cs.IT"
"2607.00632","Frame-Based AFDM-ISAC Waveform Design With Chirp-Enabled Pulse Compression","This paper proposes an Affine frequency division multiplexing (AFDM)-empowered integrated sensing and communications (ISAC) design, referred to as AFDM-ISAC.","This paper proposes an Affine frequency division multiplexing (AFDM)-empowered integrated sensing and communications (ISAC) design, referred to as AFDM-ISAC. We first design a novel AFDM-ISAC frame structure that consists of both ISAC and pure...","In addition, a sensing fusion algorithm, guided by AFDM modulation parameters, is further proposed in the digital domain. Leveraging the distinct features of the proposed AFDM-ISAC frame, we present a low-complexity channel estimation scheme for...","This paper proposes an Affine frequency division multiplexing (AFDM)-empowered integrated sensing and communications (ISAC) design, referred to as...","Leveraging the distinct features of the proposed AFDM-ISAC frame, we present a low-complexity channel estimation scheme for high mobility channels based on a generalized complex exponential basis...","Leveraging the distinct features of the proposed AFDM-ISAC frame, we present a low-complexity channel estimation scheme for high mobility channels based on a generalized complex exponential basis...","全新方法","未来工作可能包括将此方法扩展到更实际的场景。","Waveform_Design","MEDIUM","2026-07-01","eess.SP"
"2607.00324","Queue-Aware Graph Reinforcement Learning for UAV-ISAC-Assisted Maritime Data Collection","This paper studies high-altitude platform (HAP)-assisted sparse cooperative integrated sensing and communication (ISAC) for UAV-enabled ocean monitoring.","This paper studies high-altitude platform (HAP)-assisted sparse cooperative integrated sensing and communication (ISAC) for UAV-enabled ocean monitoring. A fleet of rotary-wing UAVs senses drifting buoys, collects their monitoring data, and...","The long-horizon objective is cast as a queue-weighted buffered-collection Markov decision process rather than instantaneous throughput, where each buoy maintains a backlog of buffered observations. The resulting long-horizon design is formulated...","This paper studies high-altitude platform (HAP)-assisted sparse cooperative integrated sensing and communication (ISAC) for UAV-enabled ocean...","The model explicitly accounts for a spatially correlated sea-patch field, patch-aware buoy dynamics, RCS- and clutter-aware echo sensing, fused posterior Cramér-Rao bounds (PCRBs), and...","A MAPPO-style training procedure, an independent queue-state value critic, and a consistency-verification protocol are then specified to support reproducible training. Simulation results on...","理论贡献","未来工作可能包括将此方法扩展到更实际的场景。","Localization_and_Tracking","MEDIUM","2026-07-01","eess.SY"
"2606.31466","Antenna Orientation Optimization for Rotatable Antenna-Enabled ISAC Systems","Non-fixed flexible antenna architectures, such as fluid antenna system (FAS), movable antenna (MA), and pinching antenna, have garnered significant interest in recent years.","Non-fixed flexible antenna architectures, such as fluid antenna system (FAS), movable antenna (MA), and pinching antenna, have garnered significant interest in recent years. In this paper, we deploy a rotatable antenna (RA) array at the base...","Non-fixed flexible antenna architectures, such as fluid antenna system (FAS), movable antenna (MA), and pinching antenna, have garnered significant interest in recent years. In this paper, we deploy a rotatable antenna (RA) array at the base...","Non-fixed flexible antenna architectures, such as fluid antenna system (FAS), movable antenna (MA), and pinching antenna, have garnered...","For the general multi-user and extended-target case, we propose an alternating optimization (AO) algorithm that alternately optimizes the transmit beamforming for communication, the covariance...","For the general multi-user and extended-target case, we propose an alternating optimization (AO) algorithm that alternately optimizes the transmit beamforming for communication, the covariance...","理论贡献","未来工作可能包括将此方法扩展到更实际的场景。","Beamforming_and_Precoding","HIGH","2026-06-30","cs.IT"
"2606.31447","Sensing for Reliable UAV Communication: Robust Trajectory and Resource Optimization in Low-Altitude Networks","In low-altitude wireless networks, sensing-aided communication has emerged as a promising integrated sensing and communication (ISAC) paradigm for unmanned aerial vehicle (UAV) tracking and...","In low-altitude wireless networks, sensing-aided communication has emerged as a promising integrated sensing and communication (ISAC) paradigm for unmanned aerial vehicle (UAV) tracking and communication. This paper investigates reliable...","Specifically, we maximize the minimum outage capacity among UAVs by jointly optimizing their real-time predicted positions, as well as the base station (BS) transmit power and bandwidth allocations. To address the non-convex and intractable...","In low-altitude wireless networks, sensing-aided communication has emerged as a promising integrated sensing and communication (ISAC) paradigm for...","Specifically, we maximize the minimum outage capacity among UAVs by jointly optimizing their real-time predicted positions, as well as the base station (BS) transmit power and bandwidth...","The two algorithms are further unified into a common trajectory-resource optimization framework, revealing a low-complexity structure for robust UAV trajectory and resource management. Simulation...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","Resource_Allocation","MEDIUM","2026-06-30","eess.SP"
"2606.31301","Fundamental Limits of Quantized MIMO ISAC under Gaussian Signaling","We study a quantized multiple-input multiple-output (MIMO) integrated sensing and communication (ISAC) system in which the communication and sensing receivers each apply analog spatial combining...","We study a quantized multiple-input multiple-output (MIMO) integrated sensing and communication (ISAC) system in which the communication and sensing receivers each apply analog spatial combining followed by scalar subtractive dithered...","We derive upper and lower bounds on the capacity of this channel. Numerical results show that these bounds are tight at low signal-to-noise ratios (SNR) and saturate at high SNR due to finite-resolution quantization. They also show that, despite...","quantized multiple-input multiple-output (MIMO) integrated sensing and communication (ISAC)","We derive upper and lower bounds on the capacity of this channel. Numerical results show that these bounds are tight at low signal-to-noise ratios (SNR) and saturate at high SNR due to...","We derive upper and lower bounds on the capacity of this channel. Numerical results show that these bounds are tight at low signal-to-noise ratios (SNR) and saturate at high SNR due to...","理论贡献","未来工作可能包括将此方法扩展到更实际的场景。","Standardization_and_Architecture","MEDIUM","2026-06-30","cs.IT"
"2606.29978","Fluid Antenna-assisted Unsourced ISAC Massive Access","Unsourced integrated sensing and communication (UNISAC) has emerged as a promising paradigm for supporting massive connectivity in 6G networks. However, existing approaches predominantly rely on...","In uplink transmission with huge access density and limited resource budgets (i.e., finite blocklength, FBL), the fixed arrays are constrained by their physical aperture and static spatial sampling, which lead to severe multi-user interference...","To conquer the bottleneck derived from fixed-position physical constraint and utilize the abundant spatial diversity within compact space, this paper proposes a novel unsourced ISAC framework incorporating a fluid antenna system (FAS) at the user...","Unsourced integrated sensing and communication (UNISAC) has emerged as a promising paradigm for supporting massive connectivity in 6G networks....","The proposed scheme exploits the positional flexibility of FAS to reconfigure the channel environment by continuously adjusting antenna ports in the spatial domain. Numerical results demonstrate...","The proposed scheme exploits the positional flexibility of FAS to reconfigure the channel environment by continuously adjusting antenna ports in the spatial domain. Numerical results demonstrate...","全新方法","未来工作可能包括将此方法扩展到更实际的场景。","Standardization_and_Architecture","HIGH","2026-06-29","cs.IT"
